section,slot,slot_folder,expected_filename,export_size,priority,where_it_goes,status,uploaded_file
hero,philosophy-hero,hero/philosophy-hero,philosophy-hero.webp,1920 × 1080 (16:9),normal,Philosophy page — top hero,seeded,philosophy-hero.webp
hero,success-stories-hero,hero/success-stories-hero,success-stories-hero.webp,1920 × 1080 (16:9),normal,Success Stories page — top hero,seeded,success-stories-hero.webp
philosophy,belonging,philosophy/belonging,belonging.webp,800 × 800 (square),normal,Homepage + Philosophy page — Community pillar,seeded,belonging.webp
philosophy,discipline,philosophy/discipline,discipline.webp,800 × 800 (square),normal,Homepage + Philosophy page — Craft pillar,seeded,discipline.webp
philosophy,movement,philosophy/movement,movement.webp,800 × 800 (square),normal,Homepage + Philosophy page — Movement pillar,seeded,movement.webp
programs,adults,programs/adults,adults.webp,800 × 600 (4:3),normal,Homepage Programs — Adult card,seeded,adults.webp
programs,cardio-tennis,programs/cardio-tennis,cardio-tennis.webp,800 × 600 (4:3),normal,Homepage Programs — Cardio Tennis card,seeded,cardio-tennis.webp
programs,fitness,programs/fitness,fitness.webp,800 × 600 (4:3),normal,Homepage Programs — Fitness card,seeded,fitness.webp
programs,high-performance,programs/high-performance,high-performance.webp,800 × 600 (4:3),normal,Home Programs — HP card + High Performance page,seeded,high-performance.webp
programs,juniors,programs/juniors,juniors.webp,800 × 600 (4:3),normal,Homepage Programs — Junior card,seeded,juniors.webp
programs,leagues,programs/leagues,leagues.webp,800 × 600 (4:3),normal,Home Programs — Leagues card / USTA–UTR,seeded,leagues.webp
programs,match-play,programs/match-play,match-play.webp,800 × 600 (4:3),normal,Home Programs — Match Play section,seeded,match-play.webp
programs,private-lessons,programs/private-lessons,private-lessons.webp,800 × 600 (4:3),normal,Homepage Programs — Private lessons card,seeded,private-lessons.webp
programs,private-specialty,programs/private-specialty,private-specialty.webp,800 × 600 (4:3),normal,"Home Programs card, About, Contact",seeded,private-specialty.webp
programs,youth-dev-1,programs/youth-dev-1,youth-dev-1.webp,800 × 600 (4:3),normal,Homepage Programs — Youth development card,seeded,youth-dev-1.webp
results,karue-training,results/karue-training,karue-training.webp,3:2 or 16:9 (e.g. 1200×800 or 1920×1080),normal,Homepage Results + Success Stories,seeded,karue-training.webp
results,results-player-2,results/results-player-2,results-player-2.webp,3:2 or 16:9,normal,Success Stories / results strip,seeded,results-player-2.webp
results,results-player-3,results/results-player-3,results-player-3.webp,3:2 or 16:9,normal,Success Stories / results strip,seeded,results-player-3.webp
why-choose,why-choose-1,why-choose/why-choose-1,why-choose-1.webp,800 × 600 (4:3),normal,Homepage — Why Choose left block,seeded,why-choose-1.webp
why-choose,why-choose-2,why-choose/why-choose-2,why-choose-2.webp,800 × 600 (4:3),normal,Homepage — Why Choose right block,seeded,why-choose-2.webp
